HomeTeam,AwayTeam,FTHG,FTAG,FTR
Nott'm Forest,Everton,0,2,A
West Ham,Brighton,2,2,D
Arsenal,Aston Villa,4,1,H
Man United,Wolves,1,1,D
Crystal Palace,Fulham,1,1,D
Liverpool,Leeds,0,0,D
Brentford,Tottenham,0,0,D
Sunderland,Man City,0,0,D
Aston Villa,Nott'm Forest,3,1,H
Brighton,Burnley,2,0,H
Wolves,West Ham,3,0,H
Bournemouth,Arsenal,2,3,A
Leeds,Man United,1,1,D
Everton,Brentford,2,4,A
Newcastle,Crystal Palace,2,0,H
Tottenham,Sunderland,1,1,D
Fulham,Liverpool,2,2,D
Man City,Chelsea,1,1,D
West Ham,Nott'm Forest,1,2,A
Bournemouth,Tottenham,3,2,H
Brentford,Sunderland,3,0,H
Crystal Palace,Aston Villa,0,0,D
Everton,Wolves,1,1,D
Fulham,Chelsea,2,1,H
Man City,Brighton,1,1,D
Burnley,Man United,2,2,D
Newcastle,Leeds,4,3,H
Arsenal,Liverpool,0,0,D
Man United,Man City,2,0,H
Chelsea,Brentford,2,0,H
Leeds,Fulham,1,0,H
Liverpool,Burnley,1,1,D
Sunderland,Crystal Palace,2,1,H
Tottenham,West Ham,1,2,A
Nott'm Forest,Arsenal,0,0,D
Wolves,Newcastle,0,0,D
Aston Villa,Everton,0,1,A
Brighton,Bournemouth,1,1,D
West Ham,Sunderland,3,1,H
Burnley,Tottenham,2,2,D
Fulham,Brighton,2,1,H
Man City,Wolves,2,0,H
Bournemouth,Liverpool,3,2,H
Brentford,Nott'm Forest,0,2,A
Crystal Palace,Chelsea,1,3,A
Newcastle,Aston Villa,0,2,A
Arsenal,Man United,2,3,A
Everton,Leeds,1,1,D
Brighton,Everton,1,1,D
Leeds,Arsenal,0,4,A
Wolves,Bournemouth,0,2,A
Chelsea,West Ham,3,2,H
Liverpool,Newcastle,4,1,H
Aston Villa,Brentford,0,1,A
Man United,Fulham,3,2,H
Nott'm Forest,Crystal Palace,1,1,D
Tottenham,Man City,2,2,D
Sunderland,Burnley,3,0,H
Leeds,Nott'm Forest,3,1,H
Man United,Tottenham,2,0,H
Arsenal,Sunderland,3,0,H
Bournemouth,Aston Villa,1,1,D
Burnley,West Ham,0,2,A
Fulham,Everton,1,2,A
Wolves,Chelsea,1,3,A
Newcastle,Brentford,2,3,A
Brighton,Crystal Palace,0,1,A
Liverpool,Man City,1,2,A
Chelsea,Leeds,2,2,D
Everton,Bournemouth,1,2,A
Tottenham,Newcastle,1,2,A
West Ham,Man United,1,1,D
Aston Villa,Brighton,1,0,H
Crystal Palace,Burnley,2,3,A
Man City,Fulham,3,0,H
Nott'm Forest,Wolves,0,0,D
Sunderland,Liverpool,0,1,A
Brentford,Arsenal,1,1,D
Wolves,Arsenal,2,2,D
Aston Villa,Leeds,1,1,D
Brentford,Brighton,0,2,A
Chelsea,Burnley,1,1,D
West Ham,Bournemouth,0,0,D
